央视频道,#genre#
CCTV3,http://124.77.202.8:49155/624878271
CCTV1,http://124.223.82.228:89/608807423
CCTV1,http://124.223.82.228:89/624878405
CCTV1,http://124.77.202.8:49155/608807420
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
CCTV1,http://124.77.202.8:49155/624878440
CCTV-超,https://live.264788.xyz/channel/cctv4k?streamid=84c255985963e0e411a18999189b14c8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV6,http://bztv.tvbus.cc:8081/cdnlive/cctv6.m3u8
CCTV5,http://bztv.tvbus.cc:8081/cdnlive/cctv5.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv10.m3u8
CCTV8,http://bztv.tvbus.cc:8081/cdnlive/cctv8.m3u8
CCTV3,http://124.223.82.228:89/624878271
CCTV2,http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv11.m3u8
CCTV4,http://bztv.tvbus.cc:8081/cdnlive/cctv4.m3u8
CCTV1,http://124.223.82.228:89/673168256
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv14.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv13.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv17.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv16.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv15.m3u8
CCTV5,http://bztv.tvbus.cc:8081/cdnlive/cctv5p.m3u8
CCTV1,https://live.264788.xyz/channel/cctv13?streamid=625d6041e8ff594aef93d7ee5d8a98f3&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-9,http://bztv.tvbus.cc:8081/cdnlive/cctv9.m3u8
CCTV-7,http://bztv.tvbus.cc:8081/cdnlive/cctv7.m3u8
CCTV1,https://live.264788.xyz/channel/cctv14?streamid=09d8589b06d81eb7f173cadca39fb444&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-第一剧场,http://bztv.tvbus.cc:8081/cdnlive/dyjc.m3u8
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv12.m3u8
